iter	Logloss
0	0.685194788
1	0.6770022265
2	0.6698384398
3	0.6626765804
4	0.6557256362
5	0.6486000514
6	0.6415444593
7	0.635236272
8	0.6288518335
9	0.6225967897
10	0.6167028945
11	0.6104042628
12	0.6048911378
13	0.5994027969
14	0.593872479
15	0.5882432694
16	0.5832188443
17	0.5781496779
18	0.573341808
19	0.5682761823
20	0.5632538373
21	0.5586555491
22	0.5542128561
23	0.5496959719
24	0.5453844786
25	0.5412021759
26	0.5372578271
27	0.53306233
28	0.5290553445
29	0.5252495325
30	0.5215739164
31	0.5178632346
32	0.5141106838
33	0.5104096709
34	0.5072662103
35	0.5037865456
36	0.5005818032
37	0.4973965467
38	0.4940692229
39	0.4910723013
40	0.4881773898
41	0.4851313115
42	0.4821419942
43	0.4794855657
44	0.476814195
45	0.4742198728
46	0.4714092449
47	0.4689598836
48	0.4664372331
49	0.4639436885
50	0.4615883916
51	0.4591849279
52	0.4568555473
53	0.454612252
54	0.4524983377
55	0.4504849526
56	0.4483071176
57	0.4461472307
58	0.444025922
59	0.4418637438
60	0.4399221099
61	0.4378528959
62	0.4360480326
63	0.4340150104
64	0.4323092619
65	0.430397415
66	0.4287761159
67	0.4273149482
68	0.4256108784
69	0.4240392211
70	0.4227468104
71	0.4213637247
72	0.4198686537
73	0.4184538457
74	0.4169534699
75	0.4157056337
76	0.4143932448
77	0.4129840474
78	0.4116231605
79	0.4103236044
80	0.4090502
81	0.4079041074
82	0.4068622956
83	0.4055355558
84	0.404286001
85	0.4031622913
86	0.4020152256
87	0.4009936108
88	0.399853078
89	0.3988315316
90	0.3977599271
91	0.3968353916
92	0.3958110385
93	0.394944039
94	0.393897709
95	0.3930117704
96	0.3920873248
97	0.3910368428
98	0.3901008052
99	0.3892073107
100	0.3883756752
101	0.3876552509
102	0.3869051221
103	0.3861860164
104	0.3852864957
105	0.3846534361
106	0.3838733846
107	0.3831597278
108	0.3824747502
109	0.3817751809
110	0.3811142117
111	0.380387315
112	0.3797480125
113	0.3791434583
114	0.3784801454
115	0.377887633
116	0.3773174558
117	0.3767686223
118	0.3760974427
119	0.3755207338
120	0.3749265505
121	0.3743132187
122	0.3737311523
123	0.3731834496
124	0.3727317459
125	0.372118001
126	0.3714425191
127	0.370718479
128	0.3699778076
129	0.3695478545
130	0.3689178852
131	0.3684054918
132	0.3679306359
133	0.3674653628
134	0.367016598
135	0.3666223237
136	0.3661590578
137	0.3657876066
138	0.3652367267
139	0.3648758939
140	0.3645634128
141	0.3641813201
142	0.3636839692
143	0.363312381
144	0.3630212705
145	0.362684062
146	0.3624081696
147	0.3620493379
148	0.3616805671
149	0.3612668654
150	0.3608929027
151	0.3604770739
152	0.3601702815
153	0.3599030975
154	0.3594935995
155	0.3590915319
156	0.3588019979
157	0.3582953045
158	0.3579721143
159	0.3576531702
160	0.3572303883
161	0.356909539
162	0.3565697932
163	0.3562197657
164	0.3558485274
165	0.3555178535
166	0.3551796484
167	0.354766802
168	0.354399578
169	0.3539728477
170	0.3536914982
171	0.353385987
172	0.3531269274
173	0.3528130966
174	0.3524328622
175	0.3522136566
176	0.351925408
177	0.351601151
178	0.3513607648
179	0.3511241635
180	0.3508731648
181	0.350458577
182	0.3502665726
183	0.3500047864
184	0.349785233
185	0.3495734626
186	0.3492716231
187	0.3490192722
188	0.3486857168
189	0.3484651082
190	0.3482525944
191	0.3480181349
192	0.3477912953
193	0.3475277185
194	0.34732012
195	0.3471869106
196	0.3469409745
197	0.3466919449
198	0.3465387753
199	0.3462527873
200	0.3461419875
201	0.3459419965
202	0.3456605101
203	0.3454567855
204	0.3452774111
205	0.3450241719
206	0.3448578807
207	0.3448138232
208	0.34455908
209	0.3442722701
210	0.3440674813
211	0.3438986009
212	0.3436397727
213	0.3434763255
214	0.3432883692
215	0.3431081542
216	0.3428475496
217	0.3427148077
218	0.342508501
219	0.342374915
220	0.3422247598
221	0.3420741036
222	0.3418722968
223	0.3416889522
224	0.3415907268
225	0.3414239828
226	0.3411922028
227	0.3409732895
228	0.3408675823
229	0.3406609751
230	0.3404703777
231	0.3402674099
232	0.3400655799
233	0.3398355423
234	0.339654044
235	0.3394659468
236	0.3392117462
237	0.3390528878
238	0.3388487342
239	0.3387030855
240	0.3384880537
241	0.3382950954
242	0.3381787709
243	0.3380720902
244	0.3379282926
245	0.3377808393
246	0.3376160836
247	0.3374616549
248	0.3372970602
249	0.3370367135
250	0.3368234246
251	0.3366540168
252	0.3364661745
253	0.3362363512
254	0.3361201784
255	0.3359312138
256	0.3357809646
257	0.3356117087
258	0.335486737
259	0.3352718997
260	0.335091653
261	0.3349022296
262	0.3346995298
263	0.3346035323
264	0.3344096468
265	0.3342499683
266	0.3340426794
267	0.3338157657
268	0.3336800025
269	0.3334257925
270	0.3332642194
271	0.3330486962
272	0.332969637
273	0.3328183402
274	0.3326249908
275	0.3324181188
276	0.3322336758
277	0.3321108526
278	0.3320257255
279	0.3319275358
280	0.331804534
281	0.3316551783
282	0.3315757712
283	0.3314161459
284	0.3313017543
285	0.3311400356
286	0.3309191054
287	0.3307624813
288	0.3305482078
289	0.3304174654
290	0.3302791852
291	0.3301417946
292	0.3300183997
293	0.3298729731
294	0.3296614194
295	0.3295571117
296	0.3293952136
297	0.3292781647
298	0.3291962089
299	0.3290006852
300	0.3288894859
301	0.3287474891
302	0.3285857131
303	0.3284030407
304	0.328223431
305	0.3280687254
306	0.3279755327
307	0.3278240141
308	0.3276505243
309	0.3275646272
310	0.3274719478
311	0.3273505711
312	0.3272545648
313	0.3270118677
314	0.326884652
315	0.3267706068
316	0.3266414775
317	0.3265690133
318	0.3264409887
319	0.3263772813
320	0.3261439751
321	0.3260010364
322	0.3259046284
323	0.325757953
324	0.3255700747
325	0.3254228029
326	0.3252856063
327	0.3251735952
328	0.3250111808
329	0.3248815514
330	0.3247871995
331	0.3247254323
332	0.3245718683
333	0.3244862625
334	0.3243152473
335	0.3242377805
336	0.3240824122
337	0.3239142857
338	0.3237391598
339	0.3236422257
340	0.3235455595
341	0.3233740313
342	0.3232324246
343	0.3231059849
344	0.3229988503
345	0.3228669238
346	0.3226736912
347	0.3225252484
348	0.3224501677
349	0.3223360307
350	0.3222888024
351	0.3221511116
352	0.3219263825
353	0.3218117366
354	0.3217754179
355	0.3216498273
356	0.3214623317
357	0.3213420243
358	0.3212803483
359	0.3211544034
360	0.321014611
361	0.3209194878
362	0.3207940995
363	0.3206745566
364	0.3205827799
365	0.3204119829
366	0.3202806676
367	0.3201492987
368	0.3199989543
369	0.3198461386
370	0.3197057193
371	0.3194906528
372	0.3193891201
373	0.3192532882
374	0.3191172795
375	0.3189719981
376	0.3188227446
377	0.3186774371
378	0.3185673913
379	0.3183999721
380	0.3183188168
381	0.3181540233
382	0.3180490451
383	0.3179159224
384	0.3177634839
385	0.3176238525
386	0.3175471573
387	0.3174461313
388	0.3173596233
389	0.3172424025
390	0.3170920604
391	0.3170038346
392	0.3169534063
393	0.3168363675
394	0.3166116425
395	0.3164969506
396	0.3163972763
397	0.3163234876
398	0.3162090858
399	0.3161039568
400	0.3159878945
401	0.3158173929
402	0.3157324136
403	0.3156423118
404	0.3155523737
405	0.3154624255
406	0.3153707106
407	0.315266528
408	0.3150806009
409	0.3149748254
410	0.3149214014
411	0.3148178532
412	0.3147335887
413	0.3146758626
414	0.3145758683
415	0.3144778682
416	0.3143598754
417	0.3142617864
418	0.314174725
419	0.3140981557
420	0.3139539375
421	0.3138849408
422	0.3138055285
423	0.313651378
424	0.3135672097
425	0.3134618901
426	0.3133431606
427	0.3131888458
428	0.3130522991
429	0.3128438067
430	0.3126766236
431	0.3125480263
432	0.312492575
433	0.3124006451
434	0.3122849612
435	0.3122323429
436	0.3120994998
437	0.3119487109
438	0.3118451785
439	0.3117482628
440	0.3116142848
441	0.3115192288
442	0.3114540213
443	0.3113290171
444	0.3112279825
445	0.3111287351
446	0.3110636832
447	0.3109222098
448	0.3108498588
449	0.3107034095
450	0.3106118983
451	0.3105591006
452	0.3104615287
453	0.3102673204
454	0.3100921662
455	0.3100122414
456	0.3099358645
457	0.3097757379
458	0.3096923605
459	0.3095619279
460	0.3095085573
461	0.3094277975
462	0.3092950289
463	0.3091492088
464	0.3090436807
465	0.3089740752
466	0.3088564788
467	0.3087966408
468	0.3086934384
469	0.3086366297
470	0.3085651165
471	0.308376086
472	0.3082476689
473	0.3081478112
474	0.3080516511
475	0.3079530903
476	0.3079002185
477	0.3078165253
478	0.3077317889
479	0.3076699496
480	0.3075679245
481	0.3074412885
482	0.3073592504
483	0.3072481435
484	0.3071700953
485	0.3070029036
486	0.3069097532
487	0.3068346054
488	0.3067156359
489	0.3066270566
490	0.3065293952
491	0.3063701647
492	0.3062733572
493	0.3061720282
494	0.3059918214
495	0.3058480967
496	0.3057697598
497	0.3057333872
498	0.305606014
499	0.3055250113
